20,210214,058032,2021-08-18,S,9,14
21,210214,058032,2021-08-18,E,4,14
22,210130,058170,2021-08-18,S,9,14
23,210130,058170,,E,4,14
24,210104,058029,2021-08-18,S,9,26
25,210104,058029,2021-08-18,E,4,26
26,210323,058185,2021-08-18,S,9,13
27,210323,058185,2021-08-18,E,4,15
28,210278,058052,2021-08-18,S,9,11
29,210278,058052,2021-08-18,E,4,11
30,210243,058052,2021-08-18,S,9,10
31,210243,058052,2021-08-18,E,4,7
32,210212,203457,2021-08-18,S,9,28
33,210321,058056,2021-08-18,S,9,7
34,210321,058056,2021-08-18,E,4,7
35,,058029,2021-08-18,E,4,13
36,210327,058056,2021-08-18,S,3,5
37,210327,058056,2021-08-18,E,4,5
38,210325,058056,2021-08-18,S,9,10
39,210325,058056,2021-08-18,E,4,9
40,210089,058208,2021-08-18,S,9,28
41,210089,058208,2021-08-18,E,4,28
42,210307,000052,2021-08-18,S,9,28
43,210307,,2021-08-18,E,4,28
44,210154,058208,2021-08-18,S,9,28
45,210154,058208,2021-08-18,E,4,53
46,210306,,2021-08-18,S,9,28
47,210306,,2021-08-18,E,4,28
48,210171,203457,2021-08-18,S,9,27
49,210207,203457,2021-08-18,S,9,28
50,210206,203457,2021-08-18,S,9,28
51,210206,203457,2021-08-18,E,4,28
52,208420,058014,2021-08-18,S,9,14
53,209420,058014,2021-08-18,E,4,14
54,210191,058023,2021-08-18,S,9,21
55,210191,058023,2021-08-18,E,4,28
56,210187,058107,2021-08-18,S,9,14
57,210036,000052,2021-08-18,S,9,13
58,210319,058023,2021-08-18,S,9,21
59,210209,058032,2021-08-18,S,9,14
60,210209,058032,2021-08-18,E,4,14
61,210211,203452,2021-08-18,S,9,28
62,210211,203452,2021-08-18,E,4,28
63,210007,,2021-08-18,S,9,28
64,210007,,2021-08-18,E,4,28
65,210263,058170,2021-08-18,S,9,14
66,210263,058170,2021-08-18,E,4,14
67,210296,,2021-08-18,S,9,28
68,210296,,2021-08-18,E,4,28
69,210210,058208,2021-08-18,S,9,28
70,210210,058208,2021-08-18,E,4,28
71,210213,058014,2021-08-18,S,9,14
72,210213,058014,2021-08-18,E,4,14
73,210330,058170,2021-08-18,S,9,13
74,210330,058170,2021-08-18,E,4,14
75,210320,058023,2021-08-18,S,4,7
76,210018,000052,2021-08-18,S,9,28
77,210018,000052,2021-08-18,E,4,28
